statefp,countyfp,parcels,area_m2,area_parcels,government_parcels,ownertype_known
16,075,14046,1057757384.4,14046,240,13673
16,077,8067,3655629518.1,8067,371,7593
16,079,16043,6684932007.1,16043,2172,16043
16,081,15531,1161640362.6,15531,397,15319
16,083,38641,4142717851.4,38641,2169,38578
16,085,29798,2442844200.3,29798,657,28397
16,087,12729,4249853203.8,12729,754,10915
17,001,38784,2231761138.3,38784,375,38643
17,003,8506,531696089.3,8506,365,370
17,005,14351,977993537.9,14351,323,14313
17,007,24274,715462409.0,24274,167,24189
17,009,5608,789679643.1,5608,110,5001
17,011,27614,2230188388.6,27614,806,27393
17,013,7189,874098788.5,7189,59,1273
17,015,14526,977778294.6,14526,226,2066
17,017,12562,989998796.7,12562,229,11849
17,019,86156,2731701361.9,86156,767,1324
17,021,24518,1844401455.2,24518,360,24339
17,023,14770,1310043092.0,14770,160,14203
17,025,15602,1204524072.6,15602,247,15542
17,027,21402,1038314483.5,21402,589,20878
17,029,27610,1303918835.3,27610,393,27228
17,031,1864616,11988202183.6,1864616,25813,1863595
17,033,17010,1139067284.4,17010,201,17003
17,035,11752,893657400.8,11752,182,11658
17,037,43102,1590128945.7,43102,746,43081
17,039,11068,1024227095.3,11068,185,10769
17,041,15446,1070311310.1,15446,309,15053
17,043,337013,2802711432.8,337013,4426,336487
17,045,18030,1610108483.4,18030,14,3598
17,047,7558,574290972.8,7558,106,7455
17,049,23478,1213829202.8,23478,430,23429
17,051,21800,1839990552.7,21800,416,21460
17,053,10546,1249112275.8,10546,157,10417
17,055,31419,1097996204.9,31419,845,30563
17,057,27906,2261546243.0,27906,712,27746
17,059,8040,834962771.3,8040,185,8028
17,061,9620,929057010.5,9620,18,94
17,063,27032,1087991657.0,27032,630,26675
17,065,10393,1126847202.1,10393,189,10314
