year,recipient_age,household_member,minutes_per_recipient_day,recipient_days,n_records,comparable
2017,79,0,18.638058,595443412.9,62,true
2017,79,1,295.186486,28586944.1,3,true
2017,80,0,20.140557,3280886347.1,408,true
2017,80,1,262.018461,566097710.8,40,true
2017,85,0,36.725286,5918546380.1,710,true
2017,85,1,281.301571,654321054.4,48,true
2018,8,0,125.702093,7974609.3,1,true
2018,25,0,0.000000,17538538.4,2,true
2018,33,0,0.000000,2426835.8,1,true
2018,38,0,0.000000,8605379.1,1,true
2018,39,1,0.000000,32064564.3,1,true
2018,40,0,0.000000,13705196.8,1,true
2018,42,1,0.000000,15482768.0,1,true
2018,44,0,0.000000,1589384.8,1,true
2018,44,1,20.000000,7420779.5,1,true
2018,45,0,71.030344,20075690.6,3,true
2018,46,0,0.000000,4728157.9,1,true
2018,46,1,60.000000,8318137.7,1,true
2018,47,0,21.492361,59900645.5,4,true
2018,47,1,0.000000,43094657.9,2,true
2018,48,0,0.000000,22264808.0,2,true
2018,48,1,37.371593,23639875.4,1,true
2018,49,1,210.794371,57720807.5,2,true
2018,50,0,0.000000,25308586.3,4,true
2018,51,0,9.101338,27811491.1,4,true
2018,51,1,24.796711,45746061.6,2,true
2018,52,0,34.737642,66525819.6,7,true
2018,53,0,200.740580,61409683.0,5,true
2018,53,1,295.000000,29624123.1,1,true
2018,54,0,208.531259,90321802.4,8,true
2018,54,1,12.448633,15427767.1,2,true
2018,55,0,2.821988,69893574.5,11,true
