year,tier2,mean_minutes_per_day
2013,1815,1.005130
2013,1816,0.230978
2013,1818,0.067293
2013,1899,2.210884
2013,5001,16.381421
2014,0101,527.794831
2014,0102,41.052941
2014,0103,4.636763
2014,0104,0.302822
2014,0105,0.000823
2014,0199,0.004295
2014,0201,33.217711
2014,0202,35.167189
2014,0203,3.913522
2014,0204,3.208254
2014,0205,11.201059
2014,0206,6.441661
2014,0207,2.899832
2014,0208,0.910443
2014,0209,9.570423
2014,0299,0.020760
2014,0301,21.529543
2014,0302,2.313165
2014,0303,0.803404
2014,0304,1.885224
2014,0305,0.736837
2014,0399,0.002741
2014,0401,4.060347
2014,0402,0.113262
2014,0403,0.052904
2014,0404,0.748405
2014,0405,3.004646
2014,0499,0.000366
2014,0501,195.101448
2014,0502,0.452569
2014,0503,1.377660
2014,0504,2.281377
2014,0599,0.016114
2014,0601,14.078389
2014,0602,0.200192
2014,0603,9.053738
2014,0604,0.121207
2014,0699,0.152949
2014,0701,21.495064
2014,0702,0.023452
2014,0799,0.000902
2014,0801,0.015480
2014,0802,0.404325
2014,0803,0.022616
2014,0804,3.574361
2014,0805,1.063803
2014,0806,0.181891
2014,0807,0.102356
2014,0899,0.024979
2014,0901,0.025970
2014,0902,0.257317
2014,0903,0.016957
2014,0904,0.005751
2014,0905,0.555657
2014,0999,0.021116
2014,1001,0.142635
2014,1002,0.226652
2014,1003,0.147778
2014,1099,0.030595
2014,1101,64.307371
2014,1102,0.178592
2014,1201,38.468395
2014,1202,4.078124
2014,1203,238.084841
2014,1204,5.213393
2014,1205,0.081234
2014,1299,0.000388
2014,1301,17.531778
2014,1302,1.954232
2014,1303,0.067715
2014,1399,0.027458
2014,1401,8.578996
2014,1499,0.004107
2014,1501,2.161693
2014,1502,2.186294
2014,1503,0.298303
2014,1504,0.618914
2014,1505,1.180988
2014,1506,0.035696
2014,1599,1.646713
2014,1601,4.558608
2014,1699,1.302557
2014,1801,1.014032
2014,1802,2.288108
2014,1803,5.047501
2014,1804,2.952969
2014,1805,16.456802
2014,1806,1.776112
2014,1807,13.283889
2014,1808,2.270650
2014,1809,0.409855
2014,1810,0.200388
2014,1811,5.922183
2014,1812,9.654291
2014,1813,3.076716
2014,1814,1.352805
2014,1815,1.059410
2014,1816,0.158263
