occ6,ep_employment_k,oews_median_wage,f_training,f_demand,f_scarcity,i_dependency,i_substitutability,i_harm,i_temporal,f_impact,composite,reference_multiplier,title,methodology_version,reference_epoch
191012,16.2,88720.0,0.7682518672445305,0.4367536250633583,0.2774914028370442,0.8983933524114437,0.6874113781735153,0.4809688086001802,0.45288817941060644,0.762576154911,0.5858062857343576,2.357,Food Scientists and Technologists,mult-5.1.0,2026-07-29
191013,21.8,78850.0,0.8478785623195988,0.3468345840932208,0.2835889131841893,0.9288077080222797,0.7799640753370036,0.2619562261125983,0.5044055040125651,0.7335734361572235,0.5811833563953286,2.335,Soil and Plant Scientists,mult-5.1.0,2026-07-29
191021,37.6,127410.0,0.9310445185581044,0.47175386488937404,0.2841350275737134,0.7409095665129368,0.8026343980286856,0.5382270001002019,0.7071723396019975,0.8737875125022095,0.6725257054300698,2.799,Biochemists and Biophysicists,mult-5.1.0,2026-07-29
191022,21.6,87990.0,0.7511116820183572,0.6378938417767498,0.2718053087443098,0.8974989278009693,0.8459487012425662,0.5740133697877151,0.6121783915714041,0.9874290612830543,0.6860252921193202,2.874,Microbiologists,mult-5.1.0,2026-07-29
191023,18.5,76780.0,0.8736207788962371,0.29466241777059377,0.22761729909956832,0.7588231626514201,0.9359593628788919,0.49098899211268404,0.34752859972229544,0.7666195469065611,0.5729301846580734,2.297,Zoologists and Wildlife Biologists,mult-5.1.0,2026-07-29
191029,64.5,98920.0,0.9374853445124062,0.3191517010082811,0.21678149584539272,0.8825200188324401,0.44033753019531197,0.24442090496571664,0.6451856075401932,0.5550413830433607,0.5431501735357108,2.166,"Biological Scientists, All Other",mult-5.1.0,2026-07-29
191031,29.5,73010.0,0.7933731567642922,0.2443908177578374,0.2930152752277338,0.7685249967226507,0.4401558243783479,0.29249392824594306,0.35487025990333665,0.3639727212947389,0.4487058868379785,1.796,Conservation Scientists,mult-5.1.0,2026-07-29
191032,14.0,76400.0,0.8318151534412104,0.28302677013484623,0.23702308483036183,0.8331784373577037,0.6509342791702115,0.6384288352252392,0.199801289902208,0.6675374177731536,0.5345902099754354,2.129,Foresters,mult-5.1.0,2026-07-29
191041,14.3,87220.0,0.8377831161625828,0.28031718940875144,0.3033065528347673,0.8546557232459505,0.3441847372062016,0.2963111410126112,1.0,0.6776897944313267,0.5514979913757478,2.202,Epidemiologists,mult-5.1.0,2026-07-29
191042,179.6,103410.0,1.0,0.5320210276962621,0.20287378469734482,0.9037210307711565,0.8744036862631522,0.5138922687126928,0.6044731483890451,0.9693643623487902,0.7159211044507321,3.05,"Medical Scientists, Except Epidemiologists",mult-5.1.0,2026-07-29
192011,1.8,128820.0,0.9157531557012609,0.014988692578864725,0.13661124944834813,0.8509808872432332,0.8403129865782222,0.0,0.7701452019268854,0.6845455913161065,0.4769317675737907,1.9,Astronomers,mult-5.1.0,2026-07-29
192012,25.6,172250.0,0.9966154112766249,0.18023209269362522,0.21068821702751542,0.8706736548334111,0.7883693609526939,0.12596802130004714,0.721957426278978,0.7197099466090545,0.5661077766141605,2.267,Physicists,mult-5.1.0,2026-07-29
192021,9.5,99070.0,0.841200768143008,0.13579099870401315,0.2073161561836328,0.9026013202388148,0.6903252507016311,0.30633132452511497,0.8779780925444803,0.8657378751764077,0.5442056801497341,2.17,Atmospheric and Space Scientists,mult-5.1.0,2026-07-29
192031,91.0,91240.0,0.8865775316589284,0.405014145632507,0.23504981101045747,0.9116795182508247,0.841079732870754,0.5167551782876937,0.4378050503090328,0.8775972986050369,0.633636082759156,2.591,Chemists,mult-5.1.0,2026-07-29
192032,9.1,117790.0,0.7850483955001373,0.25721594596792985,0.218981103447005,0.8816715596084141,0.618587867047077,0.3278031463376229,0.7659237762492315,0.7675576969961923,0.5355041500804727,2.133,Materials Scientists,mult-5.1.0,2026-07-29
192041,94.3,82220.0,0.8740530393693466,0.16182183156236485,0.3310688376883644,0.8430638691071894,0.19973427194782778,0.20577162570320212,0.6777200908070832,0.37621821275818224,0.4629396904286136,1.848,"Environmental Scientists and Specialists, Including Health",mult-5.1.0,2026-07-29
192042,26.0,101920.0,0.8364058670388227,0.25326637640649824,0.2525318288557766,0.8512456921155936,0.846669665266066,0.25336749738759506,0.6035377006042176,0.7599580524533732,0.5547342330977699,2.216,"Geoscientists, Except Hydrologists and Geographers",mult-5.1.0,2026-07-29
192043,6.3,96600.0,0.8060716276593121,0.17386408172709505,0.2255884638172923,0.7885792871758761,0.6874771143867626,0.1760689388625661,0.5975292597308599,0.571660297900894,0.4733202759682493,1.886,Hydrologists,mult-5.1.0,2026-07-29
192099,32.1,122570.0,0.8208392443220195,0.07399006101969181,0.15067618457675128,0.8465795606411916,0.7296197413541952,0.2361900399375886,0.7526450492224436,0.7477374274179174,0.4818188823213584,1.918,"Physical Scientists, All Other",mult-5.1.0,2026-07-29
193011,17.8,124720.0,0.8393616871595769,0.0,0.10049925296634776,0.8507701392668003,0.41626262094746436,0.18251048540631848,1.0,0.6500931182601652,0.434431636306184,1.746,Economists,mult-5.1.0,2026-07-29
