year,tier3,mean_minutes_per_day,label
2004,030399,0.005017,"Activities related to hh child's health, n.e.c."
2004,030401,0.757536,Physical care for hh adults
2004,030402,0.047755,Looking after hh adult (as a primary activity)
2004,030403,0.220209,Providing medical care to hh adult
2004,030404,0.233084,Obtaining medical and care services for hh adult
2004,030405,0.355018,Waiting associated with caring for household adults
2004,030499,0.301343,"Caring for household adults, n.e.c."
2004,030501,0.320763,Helping hh adults
2004,030502,0.129640,Organization & planning for hh adults
2004,030503,0.228386,Picking up/dropping off hh adult
2004,030504,0.296630,Waiting associated with helping hh adults
2004,030599,0.120449,"Helping household adults, n.e.c."
2004,039999,0.017007,"Caring for & helping hh members, n.e.c."
2004,040101,0.713061,Physical care for nonhh children
2004,040102,0.095989,Reading to/with nonhh children
2004,040103,1.634449,"Playing with nonhh children, not sports"
2004,040104,0.023676,Arts and crafts with nonhh children
2004,040105,0.039818,Playing sports with nonhh children
2004,040108,0.019654,Organization & planning for nonhh children
2004,040109,1.124374,Looking after nonhh children (as primary activity)
2004,040110,0.384046,Attending nonhh children's events
2004,040111,0.083414,Waiting for/with nonhh children
2004,040112,0.253886,Dropping off/picking up nonhh children
2004,040186,0.231636,Talking with/listening to nonhh children
2004,040199,0.152074,"Caring for and helping nonhh children, n.e.c."
2004,040201,0.071538,Homework (nonhh children)
2004,040202,0.014147,Meetings and school conferences (nonhh children)
2004,040301,0.053619,Providing medical care to nonhh children
2004,040302,0.020155,Obtaining medical care for nonhh children
2004,040303,0.036856,Waiting associated with nonhh children's health
2004,040399,0.063963,"Activities related to nonhh child's health, n.e.c."
2004,040401,0.324900,Physical care for nonhh adults
2004,040402,0.039339,Looking after nonhh adult (as a primary activity)
2004,040403,0.032322,Providing medical care to nonhh adult
2004,040404,0.092338,Obtaining medical and care services for nonhh adult
2004,040405,0.270966,Waiting associated with caring for nonhh adults
2004,040499,0.913442,"Caring for nonhh adults, n.e.c."
2004,040501,0.581423,"Housework, cooking, & shopping assistance for nonhh adults"
2004,040502,1.437806,House & lawn maintenance & repair assistance for nonhh adults
